epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.4203418791294098,0.0010000000474974513,1.685333013534546,0.17163412272930145,2.4707143306732178
1,0.5285469889640808,0.0010000000474974513,1.2885366678237915,0.5560123324394226,1.1765022277832031
2,0.5852136611938477,0.0010000000474974513,1.1147876977920532,0.5570400953292847,1.1822370290756226
3,0.6241880059242249,0.0010000000474974513,1.000457525253296,0.5436793565750122,1.250501275062561
4,0.6817948818206787,0.0010000000474974513,0.8515290021896362,0.5878725647926331,1.1066993474960327
5,0.7270085215568542,0.0010000000474974513,0.7385954260826111,0.568345308303833,1.1906282901763916
6,0.7535042762756348,0.0010000000474974513,0.6631614565849304,0.5611510872840881,1.3018351793289185
7,0.79008549451828,0.0010000000474974513,0.5628938674926758,0.5734840631484985,1.4285253286361694
8,0.8374359011650085,0.0010000000474974513,0.44749218225479126,0.5611510872840881,1.4260841608047485
9,0.9030769467353821,0.0005000000237487257,0.2749602496623993,0.597122311592102,1.364011526107788
10,0.9519658088684082,0.0005000000237487257,0.16252745687961578,0.6032887697219849,1.3949576616287231
11,0.971794843673706,0.0005000000237487257,0.10432378947734833,0.6043165326118469,1.4394896030426025
12,0.9763247966766357,0.0005000000237487257,0.08317530900239944,0.5930113196372986,1.6277908086776733
13,0.9833333492279053,0.0002500000118743628,0.06180610880255699,0.6258992552757263,1.4940179586410522
14,0.9886325001716614,0.0002500000118743628,0.04660521075129509,0.6228160262107849,1.5825839042663574
