emotion,mfcc,zcr,rmse
angry,0.3061645,0.29818982,0.3956457
disgust,0.2998001,0.30697978,0.3932201
fear,0.3052051,0.31034908,0.38444582
happy,0.3111557,0.30303982,0.3858045
neutral,0.30074304,0.31896642,0.38029054
sad,0.29321596,0.33042994,0.3763541
surprise,0.29771647,0.29489982,0.4073837
