epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.4157264828681946,0.0010000000474974513,1.7130807638168335,0.15930113196372986,2.747828483581543
1,0.5346153974533081,0.0010000000474974513,1.2688621282577515,0.5375128388404846,1.2181847095489502
2,0.5996581315994263,0.0010000000474974513,1.0705567598342896,0.5940390825271606,1.129366159439087
3,0.6541025638580322,0.0010000000474974513,0.9279610514640808,0.5806783437728882,1.1949622631072998
4,0.7055555582046509,0.0010000000474974513,0.7931852340698242,0.5426515936851501,1.421610951423645
5,0.7409401535987854,0.0010000000474974513,0.6957947015762329,0.5765672922134399,1.279597520828247
6,0.797863245010376,0.0010000000474974513,0.5570346713066101,0.5519013404846191,1.4749794006347656
7,0.8781196475028992,0.0005000000237487257,0.35798051953315735,0.5878725647926331,1.3481037616729736
8,0.9323077201843262,0.0005000000237487257,0.22160857915878296,0.5919835567474365,1.4265390634536743
9,0.948888897895813,0.0005000000237487257,0.16850866377353668,0.5940390825271606,1.3840889930725098
10,0.9541880488395691,0.0005000000237487257,0.15101884305477142,0.5889003276824951,1.4856504201889038
11,0.9745299220085144,0.0002500000118743628,0.09339966624975204,0.6115108132362366,1.474954605102539
12,0.9846153855323792,0.0002500000118743628,0.06463334709405899,0.61562180519104,1.4909135103225708
