epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.40717947483062744,0.0010000000474974513,1.324391484260559,0.23638232052326202,1.9243255853652954
1,0.49752137064933777,0.0010000000474974513,0.9510387182235718,0.46968141198158264,1.0128060579299927
2,0.563076913356781,0.0010000000474974513,0.777799129486084,0.5662898421287537,0.7735001444816589
3,0.6157264709472656,0.0010000000474974513,0.6545948386192322,0.5580678582191467,0.8375062942504883
4,0.6535042524337769,0.0010000000474974513,0.560960054397583,0.5734840631484985,0.7425110340118408
5,0.6905983090400696,0.0010000000474974513,0.48534178733825684,0.5262076258659363,1.0026535987854004
6,0.7222222089767456,0.0010000000474974513,0.41774284839630127,0.586844801902771,0.8158303499221802
7,0.7584615349769592,0.0010000000474974513,0.35347944498062134,0.5786228179931641,0.81312495470047
8,0.8241880536079407,0.0010000000474974513,0.23948881030082703,0.5714285969734192,0.9292142391204834
9,0.8976068496704102,0.0005000000237487257,0.1399848461151123,0.6217882633209229,0.7945320010185242
10,0.9341880083084106,0.0005000000237487257,0.08554738759994507,0.6372045278549194,0.8439196348190308
11,0.9496580958366394,0.0005000000237487257,0.06490521132946014,0.6022610664367676,0.9609950184822083
12,0.9611111283302307,0.0005000000237487257,0.05046142637729645,0.6228160262107849,0.9407721161842346
13,0.9754700660705566,0.0002500000118743628,0.03287016972899437,0.6402877569198608,0.8705397248268127
14,0.9837606549263,0.0002500000118743628,0.02192876860499382,0.6351490020751953,0.942570149898529
