epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.41410255432128906,0.0010000000474974513,1.6905198097229004,0.0729701966047287,6.805890083312988
1,0.5116239190101624,0.0010000000474974513,1.318811058998108,0.5488181114196777,1.1758174896240234
2,0.5772649645805359,0.0010000000474974513,1.143272042274475,0.567317545413971,1.1193692684173584
3,0.6332478523254395,0.0010000000474974513,0.981095016002655,0.5858170390129089,1.1136224269866943
4,0.6789743304252625,0.0010000000474974513,0.8505927920341492,0.5457348227500916,1.303322434425354
5,0.7231624126434326,0.0010000000474974513,0.7395389080047607,0.5601233243942261,1.2469267845153809
6,0.7816239595413208,0.0010000000474974513,0.5897449851036072,0.5601233243942261,1.2802026271820068
7,0.8195726275444031,0.0010000000474974513,0.49890071153640747,0.5704008340835571,1.386975884437561
8,0.8979487419128418,0.0005000000237487257,0.3019767105579376,0.597122311592102,1.3230805397033691
9,0.9432478547096252,0.0005000000237487257,0.1850779801607132,0.5827338099479675,1.493573784828186
10,0.954273521900177,0.0005000000237487257,0.1500099152326584,0.6104830503463745,1.4858145713806152
11,0.9734188318252563,0.0005000000237487257,0.09627711772918701,0.6084275245666504,1.5066059827804565
12,0.9801709651947021,0.0002500000118743628,0.0735173299908638,0.6187050342559814,1.5056432485580444
13,0.9887179732322693,0.0002500000118743628,0.0506385900080204,0.6176772713661194,1.6032142639160156
