epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.458119660615921,0.0010000000474974513,1.586337924003601,0.18293936550617218,2.743941068649292
1,0.5679486989974976,0.0010000000474974513,1.2135697603225708,0.5549845695495605,1.1836950778961182
2,0.6176922917366028,0.0010000000474974513,1.0321037769317627,0.5282630920410156,1.265526294708252
3,0.6647863388061523,0.0010000000474974513,0.8968408703804016,0.5858170390129089,1.123540997505188
4,0.6961538195610046,0.0010000000474974513,0.8152637481689453,0.5837615728378296,1.170212984085083
5,0.73683762550354,0.0010000000474974513,0.7005506157875061,0.5930113196372986,1.1958321332931519
6,0.7882051467895508,0.0010000000474974513,0.5784517526626587,0.5827338099479675,1.2649893760681152
7,0.8126495480537415,0.0010000000474974513,0.512861967086792,0.5179855823516846,1.6422288417816162
8,0.8905128240585327,0.0005000000237487257,0.32379335165023804,0.6125385165214539,1.2987306118011475
9,0.9301709532737732,0.0005000000237487257,0.21230055391788483,0.6176772713661194,1.3455404043197632
10,0.9564957022666931,0.0005000000237487257,0.14306680858135223,0.614594042301178,1.3749200105667114
11,0.9648718237876892,0.0005000000237487257,0.11461342126131058,0.606372058391571,1.4073901176452637
12,0.9800854921340942,0.0002500000118743628,0.07771176099777222,0.623843789100647,1.3562088012695312
13,0.98683762550354,0.0002500000118743628,0.055165670812129974,0.6207605600357056,1.4792698621749878
