epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.4617609977722168,0.0010000000474974513,1.5235774517059326,0.5313463807106018,1.2189748287200928
1,0.5745174884796143,0.0010000000474974513,1.133739948272705,0.597122311592102,1.0762388706207275
2,0.6359206438064575,0.0010000000474974513,0.9715090990066528,0.614594042301178,1.0004820823669434
3,0.677718997001648,0.0010000000474974513,0.8593830466270447,0.6378896832466125,0.9653147459030151
4,0.7288058400154114,0.0010000000474974513,0.725006639957428,0.6813977360725403,0.8754148483276367
5,0.7975941300392151,0.0010000000474974513,0.5640826225280762,0.7012675404548645,0.8859456181526184
6,0.8245079517364502,0.0010000000474974513,0.4777757227420807,0.7170263528823853,0.8266838192939758
7,0.8566371202468872,0.0010000000474974513,0.3998263478279114,0.7447755932807922,0.7967263460159302
8,0.8916212916374207,0.0010000000474974513,0.3012390434741974,0.752655029296875,0.7936671376228333
9,0.9129772782325745,0.0010000000474974513,0.24466091394424438,0.7420349717140198,0.8868873715400696
10,0.9154897332191467,0.0010000000474974513,0.23610053956508636,0.7571085691452026,0.8348277807235718
11,0.9202101230621338,0.0010000000474974513,0.22286221385002136,0.7831448912620544,0.7698280215263367
12,0.9365411996841431,0.0010000000474974513,0.1733729988336563,0.7954779267311096,0.7403038740158081
13,0.9420990347862244,0.0010000000474974513,0.16441947221755981,0.7841726541519165,0.8237061500549316
14,0.943050742149353,0.0010000000474974513,0.16417723894119263,0.7759506702423096,0.8681266903877258
15,0.9358178973197937,0.0010000000474974513,0.18173295259475708,0.7783487439155579,0.8367207646369934
16,0.955803394317627,0.0010000000474974513,0.12119278311729431,0.806440532207489,0.7764849662780762
17,0.9771212935447693,0.0005000000237487257,0.066651850938797,0.8112367391586304,0.7397941946983337
18,0.9830979704856873,0.0005000000237487257,0.046717312186956406,0.8167180418968201,0.7453893423080444
19,0.9878183603286743,0.0005000000237487257,0.03787219896912575,0.8184309601783752,0.7370251417160034
20,0.9841257929801941,0.0005000000237487257,0.04379790276288986,0.817060649394989,0.7941756248474121
21,0.9884654879570007,0.0005000000237487257,0.03697699308395386,0.8198013305664062,0.7866032123565674
22,0.9888842105865479,0.0005000000237487257,0.03291734680533409,0.8126070499420166,0.8172417879104614
23,0.9905973076820374,0.0005000000237487257,0.03110891953110695,0.8194587230682373,0.8422231674194336
24,0.9909399151802063,0.0002500000118743628,0.026013297960162163,0.8239123225212097,0.8106812238693237
25,0.9931097626686096,0.0002500000118743628,0.01994764804840088,0.8225419521331787,0.78911292552948
26,0.9948989152908325,0.0002500000118743628,0.01722072623670101,0.8266529440879822,0.798054575920105
27,0.9953938126564026,0.0002500000118743628,0.015361328609287739,0.8239123225212097,0.8225352764129639
28,0.9960029125213623,0.0001250000059371814,0.01325365249067545,0.8235697150230408,0.8276771306991577
29,0.9962693452835083,0.0001250000059371814,0.01227489858865738,0.8235697150230408,0.8103137612342834
