epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.4280341863632202,0.0010000000474974513,1.2768361568450928,0.2065775990486145,1.564978837966919
1,0.5413675308227539,0.0010000000474974513,0.8544636368751526,0.5005138516426086,0.9467509388923645
2,0.6054700613021851,0.0010000000474974513,0.6860684156417847,0.5560123324394226,0.7649580240249634
3,0.6462393403053284,0.0010000000474974513,0.5899103283882141,0.5817060470581055,0.761102557182312
4,0.682735025882721,0.0010000000474974513,0.5022393465042114,0.5642343163490295,0.7686452269554138
5,0.7336752414703369,0.0010000000474974513,0.40179815888404846,0.5447071194648743,0.8979601263999939
6,0.7768375873565674,0.0010000000474974513,0.32672780752182007,0.5642343163490295,0.8392924666404724
7,0.7822222113609314,0.0010000000474974513,0.32670626044273376,0.5519013404846191,0.9371935129165649
8,0.8498290777206421,0.0005000000237487257,0.20809638500213623,0.5940390825271606,0.7731935977935791
9,0.9172649383544922,0.0005000000237487257,0.11319805681705475,0.5991777777671814,0.8233473896980286
10,0.9425641298294067,0.0005000000237487257,0.07413836568593979,0.6012333035469055,0.8888264894485474
11,0.9572649598121643,0.0005000000237487257,0.056125737726688385,0.5919835567474365,0.944376528263092
12,0.9729059934616089,0.0002500000118743628,0.03504129871726036,0.6135662794113159,0.887126088142395
13,0.9776068329811096,0.0002500000118743628,0.026605449616909027,0.6176772713661194,0.930802047252655
